year,model,state,y_log,pred_log,cases
2018,Gradient boosting (history only),HARYANA,7.549082710812286,8.597875723888631,1898
2018,Gradient boosting (history only),HIMACHAL PRADESH,8.449556542700426,6.68749857518418,4672
2018,Gradient boosting (history only),JAMMU AND KASHMIR,5.3706380281276624,6.77617658242603,214
2018,Gradient boosting (history only),JHARKHAND,6.139884552226255,6.909593784933122,463
2018,Gradient boosting (history only),KARNATAKA,8.395703293828527,8.720569732807235,4427
2018,Gradient boosting (history only),KERALA,8.314832179284556,8.720569732807235,4083
2018,Gradient boosting (history only),LAKSHADWEEP,0.0,0.06077398498835244,0
2018,Gradient boosting (history only),MADHYA PRADESH,8.413387022690648,8.090809053671347,4506
2018,Gradient boosting (history only),MAHARASHTRA,9.306740866262498,8.788189694579042,11011
2018,Gradient boosting (history only),MANIPUR,2.70805020110221,5.648086557958493,14
2018,Gradient boosting (history only),MEGHALAYA,3.8066624897703196,5.580557866192196,44
2018,Gradient boosting (history only),MIZORAM,4.23410650459726,5.5781697538433,68
2018,Gradient boosting (history only),NAGALAND,5.91350300563827,6.181481358474548,369
2018,Gradient boosting (history only),ODISHA,8.556221578383715,9.655184984020604,5198
2018,Gradient boosting (history only),PUDUCHERRY,6.385194398997726,6.949875634304728,592
2018,Gradient boosting (history only),PUNJAB,9.614538010517382,8.829422122272842,14980
2018,Gradient boosting (history only),RAJASTHAN,9.168267595554275,8.878725502513767,9587
2018,Gradient boosting (history only),SIKKIM,5.771441123130016,6.246578180606267,320
2018,Gradient boosting (history only),TAMIL NADU,8.408939605975984,7.509345811778639,4486
2018,Gradient boosting (history only),TELANGANA,8.432288684325794,9.029207433427045,4592
2018,Gradient boosting (history only),TRIPURA,4.61512051684126,5.5124717851724725,100
2018,Gradient boosting (history only),UTTAR PRADESH,8.250620082174692,9.005141061159849,3829
2018,Gradient boosting (history only),UTTARAKHAND,6.536691597591305,7.52461381928386,689
2018,Gradient boosting (multi-modal),ANDAMAN AND NICOBAR,3.912023005428146,2.2489545886553506,49
