state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
KARNATAKA,2016,6083,49.26,304474.0,43.8,61095297.0,38.67,319.0,9.956576526667838
KARNATAKA,2017,17844,49.26,304474.0,43.8,61095297.0,38.67,319.0,29.206830764731365
KARNATAKA,2018,4427,49.26,304474.0,43.8,61095297.0,38.67,319.0,7.246056926443945
KARNATAKA,2019,16986,49.26,304474.0,43.8,61095297.0,38.67,319.0,27.802467348673332
KARNATAKA,2020,3823,49.26,304474.0,43.8,61095297.0,38.67,319.0,6.2574374587294335
KARNATAKA,2021,7393,49.26,304474.0,43.8,61095297.0,38.67,319.0,12.10076775631355
KARNATAKA,2022,9889,49.26,304474.0,43.8,61095297.0,38.67,319.0,16.186188603027823
KARNATAKA,2023,19300,49.26,304474.0,43.8,61095297.0,38.67,319.0,31.58999292531469
KARNATAKA,2024,32886,49.26,304474.0,43.8,61095297.0,38.67,319.0,53.82738380009839
KERALA,2015,4075,82.2,252662.0,49.1,33406061.0,47.7,859.0,12.198385197225138
KERALA,2016,7439,82.2,252662.0,49.1,33406061.0,47.7,859.0,22.268414106050994
KERALA,2017,19994,82.2,252662.0,49.1,33406061.0,47.7,859.0,59.85141438854464
KERALA,2018,4083,82.2,252662.0,49.1,33406061.0,47.7,859.0,12.22233294730558
KERALA,2019,4652,82.2,252662.0,49.1,33406061.0,47.7,859.0,13.925616671777016
KERALA,2020,4399,82.2,252662.0,49.1,33406061.0,47.7,859.0,13.168269075483039
KERALA,2021,3251,82.2,252662.0,49.1,33406061.0,47.7,859.0,9.731766938939613
KERALA,2022,4432,82.2,252662.0,49.1,33406061.0,47.7,859.0,13.267053544564861
KERALA,2023,17426,82.2,252662.0,49.1,33406061.0,47.7,859.0,52.164186612722766
KERALA,2024,20674,82.2,252662.0,49.1,33406061.0,47.7,859.0,61.886973145382214
LAKSHADWEEP,2015,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2016,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2017,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2018,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2019,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2020,0,62.53,,26.9,64473.0,78.07,2013.0,0.0
LAKSHADWEEP,2021,1,62.53,,26.9,64473.0,78.07,2013.0,1.5510368681463558
LAKSHADWEEP,2022,67,62.53,,26.9,64473.0,78.07,2013.0,103.91947016580583
LAKSHADWEEP,2023,445,62.53,,26.9,64473.0,78.07,2013.0,690.2114063251283
LAKSHADWEEP,2024,513,62.53,,26.9,64473.0,78.07,2013.0,795.6819133590806
MADHYA PRADESH,2015,2108,47.74,132010.0,32.6,72626809.0,27.63,236.0,2.9025094576301704
MADHYA PRADESH,2016,3150,47.74,132010.0,32.6,72626809.0,27.63,236.0,4.337241362208272
MADHYA PRADESH,2017,2666,47.74,132010.0,32.6,72626809.0,27.63,236.0,3.6708207846499215
MADHYA PRADESH,2018,4506,47.74,132010.0,32.6,72626809.0,27.63,236.0,6.204320500987452
MADHYA PRADESH,2019,4189,47.74,132010.0,32.6,72626809.0,27.63,236.0,5.767842560727128
MADHYA PRADESH,2020,806,47.74,132010.0,32.6,72626809.0,27.63,236.0,1.1097830279174181
MADHYA PRADESH,2021,15592,47.74,132010.0,32.6,72626809.0,27.63,236.0,21.46865629192107
MADHYA PRADESH,2022,3318,47.74,132010.0,32.6,72626809.0,27.63,236.0,4.568560901526046
MADHYA PRADESH,2023,6979,47.74,132010.0,32.6,72626809.0,27.63,236.0,9.609399195825883
MADHYA PRADESH,2024,10224,47.74,132010.0,32.6,72626809.0,27.63,236.0,14.077446249910277
MAHARASHTRA,2015,4936,57.93,252389.0,46.0,112374333.0,45.22,365.0,4.39246211143251
MAHARASHTRA,2016,6792,57.93,252389.0,46.0,112374333.0,45.22,365.0,6.044084817838251
MAHARASHTRA,2017,7829,57.93,252389.0,46.0,112374333.0,45.22,365.0,6.966893409725511
MAHARASHTRA,2018,11011,57.93,252389.0,46.0,112374333.0,45.22,365.0,9.798500872970699
MAHARASHTRA,2019,14907,57.93,252389.0,46.0,112374333.0,45.22,365.0,13.26548474374482
MAHARASHTRA,2020,3356,57.93,252389.0,46.0,112374333.0,45.22,365.0,2.986447091970726
MAHARASHTRA,2021,12720,57.93,252389.0,46.0,112374333.0,45.22,365.0,11.319310789591071
MAHARASHTRA,2022,8578,57.93,252389.0,46.0,112374333.0,45.22,365.0,7.633415719584293
MAHARASHTRA,2023,19034,57.93,252389.0,46.0,112374333.0,45.22,365.0,16.938031569895948
MAHARASHTRA,2024,19385,57.93,252389.0,46.0,112374333.0,45.22,365.0,17.250380476118153
MANIPUR,2015,52,53.68,111853.0,36.0,2570390.0,30.21,122.0,2.023039305319426
MANIPUR,2016,51,53.68,111853.0,36.0,2570390.0,30.21,122.0,1.9841347032940526
